# engine|target|config

# dragonsr noise 001 and constant optim
dragonsr|hubble|config_dragonsr_noise001.txt
dragonsr|newton|config_dragonsr_noise001.txt
dragonsr|bode|config_dragonsr_noise001.txt
dragonsr|schechter|config_dragonsr_noise001.txt
dragonsr|leavitt|config_dragonsr_noise001.txt
dragonsr|planck|config_dragonsr_noise001.txt
dragonsr|evi2|config_dragonsr_noise001.txt
dragonsr|vari|config_dragonsr_noise001.txt
dragonsr|savi|config_dragonsr_noise001.txt
dragonsr|nirv|config_dragonsr_noise001.txt

# dragonsr noise 005 and constant optim
dragonsr|hubble|config_dragonsr_noise005.txt
dragonsr|newton|config_dragonsr_noise005.txt
dragonsr|bode|config_dragonsr_noise005.txt
dragonsr|schechter|config_dragonsr_noise005.txt
dragonsr|leavitt|config_dragonsr_noise005.txt
dragonsr|planck|config_dragonsr_noise005.txt
dragonsr|evi2|config_dragonsr_noise005.txt
dragonsr|vari|config_dragonsr_noise005.txt
dragonsr|savi|config_dragonsr_noise005.txt
dragonsr|nirv|config_dragonsr_noise005.txt

# dragonsr noise 01 and constant optim
dragonsr|hubble|config_dragonsr_noise01.txt
dragonsr|newton|config_dragonsr_noise01.txt
dragonsr|bode|config_dragonsr_noise01.txt
dragonsr|schechter|config_dragonsr_noise01.txt
dragonsr|leavitt|config_dragonsr_noise01.txt
dragonsr|planck|config_dragonsr_noise01.txt
dragonsr|evi2|config_dragonsr_noise01.txt
dragonsr|vari|config_dragonsr_noise01.txt
dragonsr|savi|config_dragonsr_noise01.txt
dragonsr|nirv|config_dragonsr_noise01.txt

# PySR noise 001
pysr|n4|config_pysr_noise001.txt
pysr|n5|config_pysr_noise001.txt
pysr|n6|config_pysr_noise001.txt
pysr|n7|config_pysr_noise001.txt
pysr|n8|config_pysr_noise001.txt
pysr|n9|config_pysr_noise001.txt
pysr|n10|config_pysr_noise001.txt
pysr|n11|config_pysr_noise001.txt
pysr|n12|config_pysr_noise001.txt
pysr|hubble|config_pysr_noise001.txt
pysr|newton|config_pysr_noise001.txt
pysr|rydberg|config_pysr_noise001.txt
pysr|idealgas|config_pysr_noise001.txt
pysr|kepker|config_pysr_noise001.txt
pysr|bode|config_pysr_noise001.txt
pysr|schechter|config_pysr_noise001.txt
pysr|leavitt|config_pysr_noise001.txt
pysr|planck|config_pysr_noise001.txt
pysr|ndvi|config_pysr_noise001.txt
pysr|wi2015|config_pysr_noise001.txt
pysr|awei_sh|config_pysr_noise001.txt
pysr|bai|config_pysr_noise001.txt
pysr|bsi|config_pysr_noise001.txt
pysr|evi2|config_pysr_noise001.txt
pysr|vari|config_pysr_noise001.txt
pysr|savi|config_pysr_noise001.txt
pysr|nirv|config_pysr_noise001.txt


# PySR noise 005
pysr|n4|config_pysr_noise005.txt
pysr|n5|config_pysr_noise005.txt
pysr|n6|config_pysr_noise005.txt
pysr|n7|config_pysr_noise005.txt
pysr|n8|config_pysr_noise005.txt
pysr|n9|config_pysr_noise005.txt
pysr|n10|config_pysr_noise005.txt
pysr|n11|config_pysr_noise005.txt
pysr|n12|config_pysr_noise005.txt
pysr|hubble|config_pysr_noise005.txt
pysr|newton|config_pysr_noise005.txt
pysr|rydberg|config_pysr_noise005.txt
pysr|idealgas|config_pysr_noise005.txt
pysr|kepker|config_pysr_noise005.txt
pysr|bode|config_pysr_noise005.txt
pysr|schechter|config_pysr_noise005.txt
pysr|leavitt|config_pysr_noise005.txt
pysr|planck|config_pysr_noise005.txt
pysr|ndvi|config_pysr_noise005.txt
pysr|wi2015|config_pysr_noise005.txt
pysr|awei_sh|config_pysr_noise005.txt
pysr|bai|config_pysr_noise005.txt
pysr|bsi|config_pysr_noise005.txt
pysr|evi2|config_pysr_noise005.txt
pysr|vari|config_pysr_noise005.txt
pysr|savi|config_pysr_noise005.txt
pysr|nirv|config_pysr_noise005.txt


# PySR noise 01
pysr|n4|config_pysr_noise01.txt
pysr|n5|config_pysr_noise01.txt
pysr|n6|config_pysr_noise01.txt
pysr|n7|config_pysr_noise01.txt
pysr|n8|config_pysr_noise01.txt
pysr|n9|config_pysr_noise01.txt
pysr|n10|config_pysr_noise01.txt
pysr|n11|config_pysr_noise01.txt
pysr|n12|config_pysr_noise01.txt
pysr|hubble|config_pysr_noise01.txt
pysr|newton|config_pysr_noise01.txt
pysr|rydberg|config_pysr_noise01.txt
pysr|idealgas|config_pysr_noise01.txt
pysr|kepker|config_pysr_noise01.txt
pysr|bode|config_pysr_noise01.txt
pysr|schechter|config_pysr_noise01.txt
pysr|leavitt|config_pysr_noise01.txt
pysr|planck|config_pysr_noise01.txt
pysr|ndvi|config_pysr_noise01.txt
pysr|wi2015|config_pysr_noise01.txt
pysr|awei_sh|config_pysr_noise01.txt
pysr|bai|config_pysr_noise01.txt
pysr|bsi|config_pysr_noise01.txt
pysr|evi2|config_pysr_noise01.txt
pysr|vari|config_pysr_noise01.txt
pysr|savi|config_pysr_noise01.txt
pysr|nirv|config_pysr_noise01.txt
